# header -> slice.  Row order is the attribution priority: a symbol
# declared by several headers belongs to the first row that declares it,
# so the specific headers come before the broad ones (getopt.h before
# unistd.h, malloc.h before stdlib.h).
getopt.h	misc
malloc.h	memory
sys/mman.h	memory
obstack.h	memory
stdio.h	stdio
printf.h	stdio
wchar.h	wchar
uchar.h	wchar
wctype.h	locale
ctype.h	locale
locale.h	locale
langinfo.h	locale
iconv.h	locale
nl_types.h	locale
monetary.h	locale
string.h	string
strings.h	string
argz.h	string
envz.h	string
sys/stat.h	filesystem
fcntl.h	filesystem
dirent.h	filesystem
glob.h	filesystem
fnmatch.h	filesystem
ftw.h	filesystem
utime.h	filesystem
mntent.h	filesystem
sys/statvfs.h	filesystem
sys/statfs.h	filesystem
sys/xattr.h	filesystem
sys/file.h	filesystem
fts.h	filesystem
sys/mount.h	filesystem
sys/quota.h	filesystem
sys/socket.h	sockets
netdb.h	sockets
arpa/inet.h	sockets
netinet/in.h	sockets
net/if.h	sockets
ifaddrs.h	sockets
poll.h	io-mux
sys/select.h	io-mux
sys/epoll.h	io-mux
sys/eventfd.h	io-mux
sys/timerfd.h	io-mux
sys/signalfd.h	io-mux
sys/inotify.h	io-mux
sys/uio.h	io
sys/sendfile.h	io
aio.h	io
signal.h	signal
time.h	time
sys/time.h	time
sys/times.h	time
sys/timeb.h	time
sched.h	process
spawn.h	process
sys/wait.h	process
sys/resource.h	process
sys/prctl.h	process
sys/ptrace.h	process
pthread.h	threads
semaphore.h	threads
threads.h	threads
pwd.h	identity
grp.h	identity
shadow.h	identity
sys/ipc.h	sysv-ipc
sys/shm.h	sysv-ipc
sys/sem.h	sysv-ipc
sys/msg.h	sysv-ipc
mqueue.h	sysv-ipc
termios.h	terminal
sys/ioctl.h	terminal
pty.h	terminal
utmp.h	terminal
utmpx.h	terminal
syslog.h	syslog
regex.h	regex
dlfcn.h	dl
link.h	dl
setjmp.h	runtime
ucontext.h	runtime
assert.h	runtime
execinfo.h	runtime
sys/auxv.h	runtime
sys/utsname.h	system
sys/sysinfo.h	system
sys/random.h	misc
err.h	misc
error.h	misc
libgen.h	misc
search.h	misc
wordexp.h	misc
libintl.h	locale
inttypes.h	stdlib
stdlib.h	stdlib
unistd.h	posix
math.h	math
complex.h	math
fenv.h	math
